stop_id,stop_code,stop_name,stop_lat,stop_lon
102052,102052,PRYOR ST SW@ALICE ST SW,33.742933,-84.39454
102053,102053,PRYOR ST SW@FULTON ST SW,33.74202,-84.39455
102054,102054,CENTRAL AVE SW@ALICE ST SW,33.742566,-84.393344
102056,102056,CENTRAL AVE SW@PULLIAM ST SW,33.747414,-84.392334
102058,102058,CENTRAL AVE SW@TRINITY AVE SW,33.748339,-84.391504
102060,102060,CENTRAL AVE SW@MITCHELL ST SW,33.749382,-84.390724
102062,102062,MARTIN LUTHER KING J DR SW @ PRYOR ST,33.75141,-84.39075
102070,102070,BROAD ST SW @ MARTIN L KING J DR,33.751733,-84.39313
102074,102074,FORSYTH ST SW@TRINITY AVE SW,33.750585,-84.395177
102078,102078,PETERS ST SW@SPRING ST SW,33.750224,-84.397634
102108,102108,FORSYTH ST SW@GARNETT ST SW,33.749493,-84.396035
102109,102109,FORSYTH ST SW@BROTHERTON ST SW,33.748463,-84.396849
102110,102110,WINDSOR ST SW@EUGENIA ST SW,33.743068,-84.398382
102112,102112,WINDSOR ST SW@FULTON ST SW,33.74199,-84.39838
102124,102124,AUBURN AVE NE @ PIEDMONT AVE NE,33.755507,-84.382255
102132,102132,CAPITOL AVE SW @ MEMORIAL DR,33.747117,-84.387728
102148,102148,MITCHELL ST SW @ PRYOR ST SW,33.750292,-84.391905
102150,102150,CAPITOL SQ SW @ CAPITOL PL SW,33.748217,-84.38812
102152,102152,MARTIN LUTHER KING J DR @ COURTLAND ST,33.750043,-84.388393
102156,102156,MARTIN L KING JR DR @ PEACHTREE ST,33.751939,-84.39183
102170,102170,DECATUR ST SE @ PIEDMONT AVE SE,33.75154,-84.385666
102172,102172,DECATUR ST SE @ BELL ST SE,33.749797,-84.380316
102173,102173,DECATUR ST SE @ JESSE HILL JR DR SE,33.7506,-84.384285
102174,102174,DECATUR ST SE @ PRATT ST SE,33.749894,-84.382914
102178,102178,EDGEWOOD AVE SE @ COURTLAND ST SE,33.754539,-84.38419
102180,102180,EDGEWOOD AVE @ PEACHTREE CENTER AVE,33.754513,-84.386169
102210,102210,TRINITY AVE SW @ FORSYTH ST SW,33.75044,-84.396073
102214,102214,FORSYTH ST SW@TRINITY AVE SW,33.750278,-84.395294
102218,102218,FORSYTH ST SW@BROTHERTON ST SW,33.748744,-84.396388
102222,102222,WINDSOR ST SW@EUGENIA ST SW,33.743098,-84.398064
102224,102224,WINDSOR ST SW@FULTON ST SW,33.74169,-84.39812
102226,102226,MARIETTA ST NW @ BROAD ST (FIVE POINTS STATION),33.754992,-84.390659
102228,102228,DECATUR ST @ KIMBALL WAY,33.753597,-84.388581
102236,102236,BROAD ST @ ALABAMA ST (FIVE POINTS STATION),33.753359,-84.391991
102248,102248,ALABAMA ST @ PEACHTREE ST (FIVE POINTS STATION),33.753183,-84.391353
102252,102252,HANK AARON DR SE @ FULTON ST SE,33.7416,-84.387733
102253,102253,CAPITOL AVE @ MEMORIAL DR,33.746314,-84.387667
